trip_id,route_id,service_id,trip_headsign,direction_id
33754,MB,invvv-15.pex,Etxebarri,1
33755,MB,invvv-15.pex,Larrabasterra,0
33756,MB,invvv-15.pex,Sopela,0
33757,MB,invvv-15.pex,Sopela,0
33758,MB,invvv-15.pex,Etxebarri,1
33759,MB,invvv-15.pex,Sopela,0
33760,MB,invvv-15.pex,Etxebarri,1
33761,MB,invvv-15.pex,Etxebarri,1
33762,MB,invvv-15.pex,Basauri,1
33763,MB,invvv-15.pex,Kabiezes,0
33764,MB,invvv-15.pex,Basauri,1
33765,MB,invvv-15.pex,Kabiezes,0
33766,MB,invvv-15.pex,Basauri,1
33767,MB,invvv-15.pex,Kabiezes,0
33768,MB,invvv-15.pex,Basauri,1
33769,MB,invvv-15.pex,Kabiezes,0
33770,MB,invvv-15.pex,Basauri,1
33771,MB,invvv-15.pex,Kabiezes,0
33772,MB,invvv-15.pex,Basauri,1
33773,MB,invvv-15.pex,Kabiezes,0
33774,MB,invvv-15.pex,Basauri,1
33775,MB,invvv-15.pex,Kabiezes,0
33776,MB,invvv-15.pex,Basauri,1
33777,MB,invvv-15.pex,Kabiezes,0
33778,MB,invvv-15.pex,Basauri,1
33779,MB,invvv-15.pex,Kabiezes,0
33780,MB,invvv-15.pex,Basauri,1
33781,MB,invvv-15.pex,Kabiezes,0
33782,MB,invvv-15.pex,Basauri,1
33783,MB,invvv-15.pex,Sopela,0
33784,MB,invvv-15.pex,Etxebarri,1
33785,MB,invvv-15.pex,Sopela,0
33786,MB,invvv-15.pex,Kabiezes,0
33787,MB,invvv-15.pex,Basauri,1
33788,MB,invvv-15.pex,Kabiezes,0
33789,MB,invvv-15.pex,Basauri,1
33790,MB,invvv-15.pex,Kabiezes,0
33791,MB,invvv-15.pex,Basauri,1
33792,MB,invvv-15.pex,Kabiezes,0
33793,MB,invvv-15.pex,Basauri,1
33794,MB,invvv-15.pex,Kabiezes,0
33795,MB,invvv-15.pex,Basauri,1
33796,MB,invvv-15.pex,Kabiezes,0
33797,MB,invvv-15.pex,Basauri,1
33798,MB,invvv-15.pex,Kabiezes,0
33799,MB,invvv-15.pex,Basauri,1
33800,MB,invvv-15.pex,Kabiezes,0
33801,MB,invvv-15.pex,Basauri,1
33802,MB,invvv-15.pex,Kabiezes,0
33803,MB,invvv-15.pex,Basauri,1
33804,MB,invvv-15.pex,Kabiezes,0
33805,MB,invvv-15.pex,Basauri,1
33806,MB,invvv-15.pex,Kabiezes,0
33807,MB,invvv-15.pex,Kabiezes,0
33808,MB,invvv-15.pex,Basauri,1
33809,MB,invvv-15.pex,Kabiezes,0
33810,MB,invvv-15.pex,Basauri,1
33811,MB,invvv-15.pex,Kabiezes,0
33812,MB,invvv-15.pex,Basauri,1
33813,MB,invvv-15.pex,Kabiezes,0
33814,MB,invvv-15.pex,Basauri,1
33815,MB,invvv-15.pex,Kabiezes,0
33816,MB,invvv-15.pex,Basauri,1
33817,MB,invvv-15.pex,Kabiezes,0
33818,MB,invvv-15.pex,Basauri,1
33819,MB,invvv-15.pex,Kabiezes,0
33820,MB,invvv-15.pex,Basauri,1
33821,MB,invvv-15.pex,Kabiezes,0
33822,MB,invvv-15.pex,Basauri,1
33823,MB,invvv-15.pex,Kabiezes,0
33824,MB,invvv-15.pex,Basauri,1
33825,MB,invvv-15.pex,Kabiezes,0
33826,MB,invvv-15.pex,Basauri,1
33827,MB,invvv-15.pex,Kabiezes,0
33828,MB,invvv-15.pex,Basauri,1
33829,MB,invvv-15.pex,Kabiezes,0
33830,MB,invvv-15.pex,Kabiezes,0
33831,MB,invvv-15.pex,Basauri,1
33832,MB,invvv-15.pex,Kabiezes,0
33833,MB,invvv-15.pex,Etxebarri,1
33834,MB,invvv-15.pex,Etxebarri,1
33835,MB,invvv-15.pex,Ibarbengoa,0
33836,MB,invvv-15.pex,Etxebarri,1
33837,MB,invvv-15.pex,Ibarbengoa,0
33838,MB,invvv-15.pex,Etxebarri,1
33839,MB,invvv-15.pex,Ibarbengoa,0
33840,MB,invvv-15.pex,Etxebarri,1
33841,MB,invvv-15.pex,Ibarbengoa,0
33842,MB,invvv-15.pex,Sopela,0
33843,MB,invvv-15.pex,Sopela,0
33844,MB,invvv-15.pex,Etxebarri,1
33845,MB,invvv-15.pex,Etxebarri,1
33846,MB,invvv-15.pex,Sopela,0
33847,MB,invvv-15.pex,Sopela,0
33848,MB,invvv-15.pex,Etxebarri,1
33849,MB,invvv-15.pex,Sopela,0
33850,MB,invvv-15.pex,Etxebarri,1
33851,MB,invvv-15.pex,Etxebarri,1
33852,MB,invvv-15.pex,Etxebarri,1
33853,MB,invvv-15.pex,Ibarbengoa,0
33854,MB,invvv-15.pex,Etxebarri,1
33855,MB,invvv-15.pex,Ibarbengoa,0
33856,MB,invvv-15.pex,Etxebarri,1
33857,MB,invvv-15.pex,Ibarbengoa,0
33858,MB,invvv-15.pex,Etxebarri,1
33859,MB,invvv-15.pex,Ibarbengoa,0
33860,MB,invvv-15.pex,Etxebarri,1
33861,MB,invvv-15.pex,Larrabasterra,0
33862,MB,invvv-15.pex,Etxebarri,1
33863,MB,invvv-15.pex,Kabiezes,0
33864,MB,invvv-15.pex,Basauri,1
33865,MB,invvv-15.pex,Kabiezes,0
33866,MB,invvv-15.pex,Basauri,1
33867,MB,invvv-15.pex,Kabiezes,0
33868,MB,invvv-15.pex,Etxebarri,1
33869,MB,invvv-15.pex,Ibarbengoa,0
33870,MB,invvv-15.pex,Etxebarri,1
33871,MB,invvv-15.pex,Ibarbengoa,0
33872,MB,invvv-15.pex,Etxebarri,1
33873,MB,invvv-15.pex,Ibarbengoa,0
33874,MB,invvv-15.pex,Etxebarri,1
33875,MB,invvv-15.pex,Ibarbengoa,0
33876,MB,invvv-15.pex,Etxebarri,1
33877,MB,invvv-15.pex,Ibarbengoa,0
33878,MB,invvv-15.pex,Etxebarri,1
33879,MB,invvv-15.pex,Ibarbengoa,0
33880,MB,invvv-15.pex,Etxebarri,1
33881,MB,invvv-15.pex,Larrabasterra,0
33882,MB,invvv-15.pex,Sopela,0
33883,MB,invvv-15.pex,Etxebarri,1
33884,MB,invvv-15.pex,Etxebarri,1
33885,MB,invvv-15.pex,Basauri,1
33886,MB,invvv-15.pex,Kabiezes,0
33887,MB,invvv-15.pex,Basauri,1
33888,MB,invvv-15.pex,Kabiezes,0
33889,MB,invvv-15.pex,Basauri,1
33890,MB,invvv-15.pex,Kabiezes,0
33891,MB,invvv-15.pex,Basauri,1
33892,MB,invvv-15.pex,Kabiezes,0
33893,MB,invvv-15.pex,Basauri,1
33894,MB,invvv-15.pex,Kabiezes,0
33895,MB,invvv-15.pex,Basauri,1
33896,MB,invvv-15.pex,Kabiezes,0
33897,MB,invvv-15.pex,Basauri,1
33898,MB,invvv-15.pex,Kabiezes,0
33899,MB,invvv-15.pex,Basauri,1
33900,MB,invvv-15.pex,Kabiezes,0
33901,MB,invvv-15.pex,Basauri,1
33902,MB,invvv-15.pex,Kabiezes,0
33903,MB,invvv-15.pex,Basauri,1
33904,MB,invvv-15.pex,Kabiezes,0
33905,MB,invvv-15.pex,Basauri,1
33906,MB,invvv-15.pex,Kabiezes,0
33907,MB,invvv-15.pex,Kabiezes,0
33908,MB,invvv-15.pex,Basauri,1
33909,MB,invvv-15.pex,Kabiezes,0
33910,MB,invvv-15.pex,Basauri,1
33911,MB,invvv-15.pex,Basauri,1
33912,MB,invvv-15.pex,Etxebarri,1
33913,MB,invvv-15.pex,Ibarbengoa,0
33914,MB,invvv-15.pex,Etxebarri,1
33915,MB,invvv-15.pex,Ibarbengoa,0
33916,MB,invvv-15.pex,Etxebarri,1
33917,MB,invvv-15.pex,Larrabasterra,0
33918,MB,invvv-15.pex,Etxebarri,1
33919,MB,invvv-15.pex,Larrabasterra,0
33920,MB,invvv-15.pex,Etxebarri,1
33921,MB,invvv-15.pex,Larrabasterra,0
33922,MB,invvv-15.pex,Etxebarri,1
33923,MB,invvv-15.pex,Larrabasterra,0
33924,MB,invvv-15.pex,Etxebarri,1
33925,MB,invvv-15.pex,Larrabasterra,0
33926,MB,invvv-15.pex,Etxebarri,1
33927,MB,invvv-15.pex,Sopela,0
33928,MB,invvv-15.pex,Sopela,0
33929,MB,invvv-15.pex,Etxebarri,1
33930,MB,invvv-15.pex,Sopela,0
33931,MB,invvv-15.pex,Etxebarri,1
33932,MB,invvv-15.pex,Sopela,0
33933,MB,invvv-15.pex,Etxebarri,1
33934,MB,invvv-15.pex,Sopela,0
33935,MB,invvv-15.pex,Basauri,1
33936,MB,invvv-15.pex,Kabiezes,0
33937,MB,invvv-15.pex,Basauri,1
33938,MB,invvv-15.pex,Kabiezes,0
33939,MB,invvv-15.pex,Basauri,1
33940,MB,invvv-15.pex,Kabiezes,0
33941,MB,invvv-15.pex,Basauri,1
33942,MB,invvv-15.pex,Kabiezes,0
33943,MB,invvv-15.pex,Basauri,1
33944,MB,invvv-15.pex,Kabiezes,0
33945,MB,invvv-15.pex,Basauri,1
33946,MB,invvv-15.pex,Kabiezes,0
33947,MB,invvv-15.pex,Basauri,1
33948,MB,invvv-15.pex,Kabiezes,0
33949,MB,invvv-15.pex,Basauri,1
33950,MB,invvv-15.pex,Kabiezes,0
