trip_id,stop_sequence,arrival_time,departure_time,stop_id
22936,23,09:12:18,09:12:33,40.0
22925,23,09:12:20,09:12:35,2.0
22529,8,09:12:25,09:12:50,9.0
22976,21,09:12:28,09:12:53,7.0
22724,2,09:12:33,09:12:43,1.0
22576,4,09:12:33,09:12:48,22.0
22535,5,09:12:41,09:13:06,4.0
22996,8,09:12:44,09:13:04,35.0
22557,20,09:12:48,09:13:08,37.0
22511,23,09:12:54,09:13:14,24.0
22461,5,09:12:57,09:13:12,38.0
22825,16,09:12:58,09:13:23,13.0
22903,12,09:13:00,09:13:25,11.0
22482,20,09:13:04,09:13:29,5.0
23014,5,09:13:15,09:13:40,6.0
22642,17,09:13:15,09:13:40,34.0
22414,16,09:13:18,09:13:43,10.0
22791,9,09:13:22,09:13:47,8.0
22851,14,09:13:22,09:13:42,15.0
22784,23,09:13:22,09:13:37,3.0
22764,20,09:13:25,09:13:40,21.0
22957,2,09:13:26,09:13:41,41.0
22425,17,09:13:32,09:13:47,18.0
22391,11,09:13:36,09:13:56,15.0
22882,17,09:13:39,09:14:04,8.0
22529,9,09:13:44,09:14:09,10.0
22665,12,09:13:46,09:14:16,13.0
22862,10,09:13:48,09:14:03,18.0
22576,5,09:13:52,09:14:07,21.0
22976,22,09:13:53,09:14:18,6.0
22699,2,09:13:55,09:14:10,3.0
22996,9,09:13:56,09:14:21,34.0
22535,6,09:13:58,09:14:23,5.0
22440,14,09:13:58,09:14:23,11.0
22936,24,09:13:59,09:14:09,41.0
22775,5,09:14:19,09:14:39,24.0
22482,21,09:14:20,09:14:45,4.0
22461,6,09:14:26,09:14:46,37.0
22557,21,09:14:28,09:14:43,38.0
22642,18,09:14:32,09:14:52,35.0
22414,17,09:14:33,09:14:58,9.0
23014,6,09:14:37,09:15:02,7.0
22925,24,09:14:42,09:14:52,1.0
22825,17,09:14:43,09:15:08,12.0
22903,13,09:14:44,09:15:09,12.0
22764,21,09:14:44,09:14:59,22.0
22724,3,09:14:47,09:15:02,2.0
22784,24,09:14:50,09:15:05,2.0
22791,10,09:14:55,09:15:20,9.0
22744,15,09:14:55,09:15:20,32.0
22425,18,09:14:56,09:15:21,19.0
22882,18,09:14:58,09:15:23,7.0
22957,3,09:15:11,09:15:21,40.0
22699,3,09:15:11,09:15:36,4.0
22862,11,09:15:16,09:15:31,17.0
22599,12,09:15:28,09:15:53,13.0
22529,10,09:15:30,09:15:55,11.0
22576,6,09:15:33,09:15:48,20.0
22851,15,09:15:33,09:15:48,16.0
22976,23,09:15:34,09:15:59,5.0
22996,10,09:15:36,09:15:51,33.0
22623,1,09:15:45,09:16:00,51.0
22535,7,09:15:45,09:16:10,6.0
22440,15,09:15:48,09:16:13,10.0
22775,6,09:15:49,09:16:14,23.0
22482,22,09:15:52,09:16:07,3.0
23014,7,09:15:52,09:16:17,8.0
22557,22,09:15:53,09:16:08,39.0
22936,25,09:15:58,09:16:08,42.0
22391,12,09:15:59,09:16:14,14.0
22414,18,09:16:09,09:16:34,8.0
22642,19,09:16:10,09:16:20,36.0
22925,25,09:16:13,09:16:23,51.0
22665,13,09:16:13,09:16:28,14.0
22599,7,09:06:18,09:06:28,36.0
22411,22,09:06:18,09:06:43,23.0
22925,19,09:06:23,09:06:48,6.0
22791,4,09:06:25,09:06:40,3.0
22825,13,09:06:26,09:06:41,16.0
22529,4,09:06:28,09:06:53,5.0
22976,17,09:06:28,09:06:53,11.0
22996,4,09:06:31,09:06:46,39.0
22775,1,09:06:46,09:06:56,28.0
22511,19,09:06:46,09:07:01,20.0
22557,16,09:06:48,09:07:03,33.0
22791,11,09:16:14,09:16:39,10.0
22511,25,09:16:15,09:16:30,26.0
22703,1,09:16:16,09:16:31,42.0
22903,14,09:16:16,09:16:46,13.0
22764,22,09:16:18,09:16:43,23.0
22461,7,09:16:18,09:16:28,36.0
22882,19,09:16:23,09:16:48,6.0
22724,4,09:16:25,09:16:40,3.0
22862,12,09:16:26,09:16:41,16.0
22825,18,09:16:28,09:16:53,11.0
22774,5,07:34:19,07:34:39,24.0
22620,21,07:34:20,07:34:45,4.0
22597,6,07:34:26,07:34:46,37.0
22720,19,07:34:28,07:34:43,38.0
22934,18,07:34:32,07:34:52,35.0
22786,20,07:34:33,07:34:58,9.0
23013,6,07:34:37,07:35:02,7.0
22721,24,07:34:42,07:34:52,1.0
22822,17,07:34:43,07:35:08,12.0
22640,13,07:34:44,07:35:09,12.0
22789,3,07:34:47,07:35:02,2.0
22698,27,07:34:50,07:35:05,2.0
22555,15,07:34:55,07:35:20,32.0
22742,10,07:34:55,07:35:20,9.0
22423,18,07:34:56,07:35:21,19.0
22923,18,07:34:58,07:35:23,7.0
22521,3,07:35:11,07:35:36,4.0
22994,3,07:35:11,07:35:21,40.0
22871,12,07:35:16,07:35:31,17.0
22880,12,07:35:28,07:35:53,13.0
22849,10,07:35:30,07:35:55,11.0
22762,15,07:35:33,07:35:48,16.0
22409,9,07:35:33,07:35:48,20.0
22986,24,07:35:34,07:35:59,5.0
22438,10,07:35:36,07:35:51,33.0
22533,1,07:35:45,07:36:00,51.0
22901,7,07:35:45,07:36:10,6.0
22480,15,07:35:48,07:36:13,10.0
22774,6,07:35:49,07:36:14,23.0
23013,7,07:35:52,07:36:17,8.0
22620,22,07:35:52,07:36:07,3.0
22720,20,07:35:53,07:36:08,39.0
22590,3,07:35:57,07:36:12,26.0
22954,25,07:35:58,07:36:08,42.0
22416,15,07:35:59,07:36:14,14.0
22786,21,07:36:09,07:36:34,8.0
22934,19,07:36:10,07:36:20,36.0
22664,13,07:36:13,07:36:28,14.0
22721,25,07:36:13,07:36:23,51.0
22742,11,07:36:14,07:36:39,10.0
22510,25,07:36:15,07:36:30,26.0
22640,14,07:36:16,07:36:46,13.0
22459,1,07:36:16,07:36:31,42.0
22597,7,07:36:18,07:36:28,36.0
22923,19,07:36:23,07:36:48,6.0
22789,4,07:36:25,07:36:40,3.0
22871,13,07:36:26,07:36:41,16.0
22822,18,07:36:28,07:36:53,11.0
22521,4,07:36:28,07:36:53,5.0
22994,4,07:36:31,07:36:46,39.0
22691,1,07:36:46,07:36:56,28.0
22423,19,07:36:46,07:37:01,20.0
22555,16,07:36:48,07:37:03,33.0
22986,25,07:36:50,07:37:15,4.0
22762,16,07:37:00,07:37:15,17.0
22480,16,07:37:03,07:37:28,9.0
22409,10,07:37:06,07:37:31,19.0
22901,8,07:37:07,07:37:32,7.0
22438,11,07:37:11,07:37:36,32.0
22880,13,07:37:13,07:37:38,12.0
22849,11,07:37:14,07:37:39,12.0
22842,1,07:37:17,07:37:32,2.0
22720,21,07:37:18,07:37:33,40.0
22620,23,07:37:20,07:37:35,2.0
23013,8,07:37:25,07:37:50,9.0
22786,22,07:37:28,07:37:53,7.0
22533,2,07:37:33,07:37:43,1.0
22774,7,07:37:33,07:37:48,22.0
22789,5,07:37:41,07:38:06,4.0
22597,8,07:37:44,07:38:04,35.0
22934,20,07:37:48,07:38:08,37.0
22994,5,07:37:57,07:38:12,38.0
22416,16,07:37:58,07:38:23,13.0
22742,12,07:38:00,07:38:25,11.0
22923,20,07:38:04,07:38:29,5.0
22555,17,07:38:15,07:38:40,34.0
22521,5,07:38:15,07:38:40,6.0
22822,19,07:38:18,07:38:43,10.0
22901,9,07:38:22,07:38:47,8.0
22986,26,07:38:22,07:38:37,3.0
22664,14,07:38:22,07:38:42,15.0
22423,20,07:38:25,07:38:40,21.0
22459,2,07:38:26,07:38:41,41.0
22510,26,07:38:27,07:38:42,27.0
22762,17,07:38:32,07:38:47,18.0
22871,14,07:38:36,07:38:56,15.0
22480,17,07:38:39,07:39:04,8.0
22691,2,07:38:43,07:38:58,27.0
23013,9,07:38:44,07:39:09,10.0
22849,12,07:38:46,07:39:16,13.0
22409,11,07:38:48,07:39:03,18.0
22774,8,07:38:52,07:39:07,21.0
22786,23,07:38:53,07:39:18,6.0
22842,2,07:38:55,07:39:10,3.0
22597,9,07:38:56,07:39:21,34.0
22880,14,07:38:58,07:39:23,11.0
22789,6,07:38:58,07:39:23,5.0
22720,22,07:38:59,07:39:09,41.0
22590,5,07:39:19,07:39:39,24.0
22923,21,07:39:20,07:39:45,4.0
22994,6,07:39:26,07:39:46,37.0
22934,21,07:39:28,07:39:43,38.0
22555,18,07:39:32,07:39:52,35.0
22822,20,07:39:33,07:39:58,9.0
22521,6,07:39:37,07:40:02,7.0
22620,24,07:39:42,07:39:52,1.0
22416,17,07:39:43,07:40:08,12.0
22742,13,07:39:44,07:40:09,12.0
22423,21,07:39:44,07:39:59,22.0
22533,3,07:39:47,07:40:02,2.0
22986,27,07:39:50,07:40:05,2.0
22901,10,07:39:55,07:40:20,9.0
22640,15,07:39:55,07:40:20,32.0
22762,18,07:39:56,07:40:21,19.0
22480,18,07:39:58,07:40:23,7.0
22842,3,07:40:11,07:40:36,4.0
22459,3,07:40:11,07:40:21,40.0
22409,12,07:40:16,07:40:31,17.0
22438,12,07:40:28,07:40:53,13.0
22510,27,07:40:28,07:40:43,28.0
23013,10,07:40:30,07:40:55,11.0
22664,15,07:40:33,07:40:48,16.0
22774,9,07:40:33,07:40:48,20.0
22786,24,07:40:34,07:40:59,5.0
22597,10,07:40:36,07:40:51,33.0
22722,1,07:40:45,07:41:00,51.0
22789,7,07:40:45,07:41:10,6.0
22880,15,07:40:48,07:41:13,10.0
22590,6,07:40:49,07:41:14,23.0
22521,7,07:40:52,07:41:17,8.0
22923,22,07:40:52,07:41:07,3.0
22934,22,07:40:53,07:41:08,39.0
22691,3,07:40:57,07:41:12,26.0
22720,23,07:40:58,07:41:08,42.0
22871,15,07:40:59,07:41:14,14.0
22822,21,07:41:09,07:41:34,8.0
22555,19,07:41:10,07:41:20,36.0
22620,25,07:41:13,07:41:23,51.0
22849,13,07:41:13,07:41:28,14.0
22901,11,07:41:14,07:41:39,10.0
22955,1,07:41:16,07:41:31,42.0
22742,14,07:41:16,07:41:46,13.0
22423,22,07:41:18,07:41:43,23.0
22994,7,07:41:18,07:41:28,36.0
22480,19,07:41:23,07:41:48,6.0
22533,4,07:41:25,07:41:40,3.0
22409,13,07:41:26,07:41:41,16.0
22416,18,07:41:28,07:41:53,11.0
22842,4,07:41:28,07:41:53,5.0
22459,4,07:41:31,07:41:46,39.0
22762,19,07:41:46,07:42:01,20.0
22640,16,07:41:48,07:42:03,33.0
22786,25,07:41:50,07:42:15,4.0
22664,16,07:42:00,07:42:15,17.0
22880,16,07:42:03,07:42:28,9.0
22774,10,07:42:06,07:42:31,19.0
22789,8,07:42:07,07:42:32,7.0
22597,11,07:42:11,07:42:36,32.0
22438,13,07:42:13,07:42:38,12.0
23013,11,07:42:14,07:42:39,12.0
