service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
99797,1,1,1,1,0,0,0,20140506,20151231
99798,1,1,1,1,0,0,0,20140506,20151231
99799,1,1,1,1,0,0,0,20140506,20151231
99800,0,0,0,0,1,0,0,20140506,20151231
99801,0,0,0,0,1,0,0,20140506,20151231
99802,0,0,0,0,1,0,0,20140506,20151231
99803,0,0,0,0,1,0,0,20140506,20151231
99804,0,0,0,0,1,0,0,20140506,20151231
99805,0,0,0,0,1,0,0,20140506,20151231
99806,0,0,0,0,1,0,0,20140506,20151231
99807,0,0,0,0,1,0,0,20140506,20151231
99808,0,0,0,0,1,0,0,20140506,20151231
99809,0,0,0,0,1,0,0,20140506,20151231
99810,0,0,0,0,1,0,0,20140506,20151231
99811,0,0,0,0,1,0,0,20140506,20151231
99812,1,1,1,1,1,0,0,20140506,20151231
99813,0,0,0,0,0,1,1,20140506,20151231
99814,1,1,1,1,1,0,0,20140506,20151231
99815,0,0,0,0,0,1,1,20140506,20151231
99816,1,1,1,1,1,0,0,20140506,20151231
99817,0,0,0,0,0,1,1,20140506,20151231
99818,1,1,1,1,1,1,0,20140506,20151231
99819,0,0,0,0,0,0,1,20140506,20151231
99820,1,1,1,1,1,0,0,20140506,20151231
99821,0,0,0,0,0,1,0,20140506,20151231
99822,0,0,0,0,0,0,1,20140506,20151231
99823,0,0,0,0,0,0,1,20140506,20151231
99824,1,1,1,1,1,0,0,20140506,20151231
99825,0,0,0,0,0,1,0,20140506,20151231
99826,0,0,0,0,0,0,1,20140506,20151231
99827,0,0,0,0,0,0,1,20140506,20151231
99828,1,1,1,1,1,0,0,20140506,20151231
99829,0,0,0,0,0,1,1,20140506,20151231
99830,1,1,1,1,1,1,0,20140506,20151231
99831,1,1,1,1,1,1,0,20140506,20151231
99832,1,1,1,1,1,1,0,20140506,20151231
99833,1,1,1,1,1,0,0,20140506,20151231
99834,1,1,1,1,1,0,0,20140506,20151231
99835,1,1,1,1,1,0,0,20140506,20151231
99836,1,1,1,1,1,0,0,20140506,20151231
99837,1,1,1,1,1,0,0,20140506,20151231
99838,1,1,1,1,1,0,0,20140506,20151231
99839,1,1,1,1,1,0,0,20140506,20151231
99840,1,1,1,1,1,0,0,20140506,20151231
99841,1,1,1,1,1,0,0,20140506,20151231
99842,1,1,1,1,1,0,0,20140506,20151231
99843,1,1,1,1,1,0,0,20140506,20151231
99844,1,1,1,1,1,0,0,20140506,20151231
99845,1,1,1,1,1,0,0,20140506,20151231
99846,1,1,1,1,1,0,0,20140506,20151231
99847,1,1,1,1,1,0,0,20140506,20151231
99848,1,1,1,1,1,0,0,20140506,20151231
99849,1,1,1,1,1,0,0,20140506,20151231
99850,1,1,1,1,1,0,0,20140506,20151231
99851,1,1,1,1,1,0,0,20140506,20151231
99852,1,1,1,1,1,0,0,20140506,20151231
99853,1,1,1,1,1,0,0,20140506,20151231
99854,1,1,1,1,1,0,0,20140506,20151231
99855,1,1,1,1,1,0,0,20140506,20151231
99856,1,1,1,1,0,0,0,20140506,20151231
99857,1,1,1,1,0,0,0,20140506,20151231
99858,1,1,1,1,0,0,0,20140506,20151231
99859,1,1,1,1,0,0,0,20140506,20151231
99860,1,1,1,1,0,0,0,20140506,20151231
99861,1,1,1,1,0,0,0,20140506,20151231
99862,1,1,1,1,0,0,0,20140506,20151231
99863,1,1,1,1,0,0,0,20140506,20151231
