trip_id,stop_sequence,arrival_time,departure_time,stop_id
41102,11,12:29:21,12:29:41,15.0
41018,24,12:29:26,12:29:41,25.0
41150,16,12:29:35,12:30:00,12.0
41449,23,12:29:42,12:29:57,2.0
40875,22,12:29:42,12:30:07,4.0
41508,19,12:29:45,12:30:10,6.0
41063,11,12:29:48,12:30:13,10.0
41245,17,12:29:52,12:30:17,34.0
40956,17,12:29:54,12:30:09,18.0
40942,7,12:29:56,12:30:21,8.0
41326,21,12:30:01,12:30:26,8.0
41476,6,12:30:01,12:30:16,22.0
41278,5,12:30:04,12:30:19,38.0
41082,21,12:30:08,12:30:23,38.0
41041,9,12:30:09,12:30:34,34.0
41337,15,12:30:10,12:30:35,10.0
41173,3,12:30:15,12:30:40,4.0
41193,21,12:30:16,12:30:31,22.0
41541,11,12:30:18,12:30:43,12.0
40979,7,12:30:19,12:30:44,6.0
41389,3,12:30:21,12:30:36,2.0
41211,11,12:30:25,12:30:40,18.0
41363,14,12:30:34,12:30:54,15.0
40998,25,12:30:40,12:30:50,42.0
40904,12,12:30:50,12:31:15,13.0
40921,1,12:30:52,12:31:07,25.0
41018,25,12:30:58,12:31:13,26.0
41300,1,12:30:58,12:31:08,28.0
41245,18,12:31:09,12:31:29,35.0
40875,23,12:31:14,12:31:29,3.0
41326,22,12:31:20,12:31:45,7.0
40956,18,12:31:20,12:31:45,19.0
41150,17,12:31:20,12:31:45,11.0
41476,7,12:31:22,12:31:37,21.0
41337,16,12:31:25,12:31:50,9.0
41508,20,12:31:26,12:31:51,5.0
41421,2,12:31:29,12:31:44,41.0
40942,8,12:31:29,12:31:54,9.0
41173,4,12:31:32,12:31:57,5.0
41082,22,12:31:33,12:31:48,39.0
41063,12,12:31:34,12:31:59,11.0
41278,6,12:31:35,12:31:55,37.0
40979,8,12:31:41,12:32:06,7.0
41102,12,12:31:48,12:32:03,14.0
41541,12,12:31:50,12:32:20,13.0
41041,10,12:31:52,12:32:07,33.0
41193,22,12:31:53,12:32:18,23.0
41211,12,12:31:55,12:32:10,17.0
41389,4,12:31:59,12:32:14,3.0
41449,24,12:32:07,12:32:17,1.0
41224,1,12:32:17,12:32:32,51.0
41131,15,12:32:30,12:32:55,32.0
40904,13,12:32:35,12:33:00,12.0
40875,24,12:32:42,12:32:57,2.0
41508,21,12:32:42,12:33:07,4.0
40921,2,12:32:43,12:33:03,24.0
41326,23,12:32:45,12:33:10,6.0
41245,19,12:32:48,12:32:58,36.0
40942,9,12:32:48,12:33:13,10.0
41363,15,12:32:49,12:33:04,16.0
40979,9,12:32:56,12:33:21,8.0
41300,2,12:32:58,12:33:13,27.0
41082,23,12:32:58,12:33:13,40.0
41337,17,12:33:01,12:33:26,8.0
41476,8,12:33:06,12:33:21,20.0
41211,13,12:33:07,12:33:22,16.0
41150,18,12:33:10,12:33:35,10.0
40956,19,12:33:13,12:33:28,20.0
41018,26,12:33:14,12:33:29,27.0
41389,5,12:33:15,12:33:40,4.0
41421,3,12:33:16,12:33:26,40.0
41063,13,12:33:18,12:33:43,12.0
41173,5,12:33:19,12:33:44,6.0
41268,1,12:33:21,12:33:36,2.0
41278,7,12:33:28,12:33:38,36.0
41041,11,12:33:29,12:33:54,32.0
41193,23,12:33:31,12:33:51,24.0
41449,25,12:33:40,12:33:50,51.0
41102,13,12:33:50,12:34:15,13.0
41224,2,12:34:06,12:34:16,1.0
41508,22,12:34:14,12:34:29,3.0
40921,3,12:34:15,12:34:40,23.0
41363,16,12:34:19,12:34:34,17.0
40904,14,12:34:20,12:34:45,11.0
41337,18,12:34:20,12:34:45,7.0
41541,13,12:34:21,12:34:36,14.0
41131,16,12:34:24,12:34:39,33.0
41150,19,12:34:25,12:34:50,9.0
41326,24,12:34:26,12:34:51,5.0
41245,20,12:34:27,12:34:47,37.0
40979,10,12:34:29,12:34:54,9.0
41389,6,12:34:32,12:34:57,5.0
40942,10,12:34:34,12:34:59,11.0
41421,4,12:34:37,12:34:52,39.0
41082,24,12:34:40,12:34:50,41.0
41476,9,12:34:41,12:35:06,19.0
41173,6,12:34:41,12:35:06,7.0
41063,14,12:34:50,12:35:20,13.0
40956,20,12:34:55,12:35:10,21.0
41278,8,12:34:56,12:35:16,35.0
41268,2,12:34:59,12:35:14,3.0
41300,3,12:35:16,12:35:31,26.0
40999,1,12:35:17,12:35:32,42.0
41211,14,12:35:21,12:35:41,15.0
41193,24,12:35:26,12:35:41,25.0
41102,14,12:35:35,12:36:00,12.0
41508,23,12:35:42,12:35:57,2.0
41326,25,12:35:42,12:36:07,4.0
41337,19,12:35:45,12:36:10,6.0
40979,11,12:35:48,12:36:13,10.0
41131,17,12:35:52,12:36:17,34.0
41363,17,12:35:54,12:36:09,18.0
41173,7,12:35:56,12:36:21,8.0
40921,4,12:36:01,12:36:16,22.0
41150,20,12:36:01,12:36:26,8.0
41421,5,12:36:04,12:36:19,38.0
41245,21,12:36:08,12:36:23,38.0
41278,9,12:36:09,12:36:34,34.0
40904,15,12:36:10,12:36:35,10.0
41268,3,12:36:15,12:36:40,4.0
40956,21,12:36:16,12:36:31,22.0
40942,11,12:36:18,12:36:43,12.0
41389,7,12:36:19,12:36:44,6.0
41224,3,12:36:21,12:36:36,2.0
41476,10,12:36:25,12:36:40,18.0
41541,14,12:36:34,12:36:54,15.0
41082,25,12:36:40,12:36:50,42.0
41041,12,12:36:50,12:37:15,13.0
41300,4,12:36:52,12:37:07,25.0
41193,25,12:36:58,12:37:13,26.0
41131,18,12:37:09,12:37:29,35.0
41326,26,12:37:14,12:37:29,3.0
41102,15,12:37:20,12:37:45,11.0
41363,18,12:37:20,12:37:45,19.0
41150,21,12:37:20,12:37:45,7.0
40921,5,12:37:22,12:37:37,21.0
40904,16,12:37:25,12:37:50,9.0
41337,20,12:37:26,12:37:51,5.0
40999,2,12:37:29,12:37:44,41.0
41173,8,12:37:29,12:37:54,9.0
41268,4,12:37:32,12:37:57,5.0
41245,22,12:37:33,12:37:48,39.0
40979,12,12:37:34,12:37:59,11.0
41421,6,12:37:35,12:37:55,37.0
41389,8,12:37:41,12:38:06,7.0
41211,15,12:37:48,12:38:03,14.0
40942,12,12:37:50,12:38:20,13.0
41278,10,12:37:52,12:38:07,33.0
40956,22,12:37:53,12:38:18,23.0
41476,11,12:37:55,12:38:10,17.0
41224,4,12:37:59,12:38:14,3.0
41508,24,12:38:07,12:38:17,1.0
41450,1,12:38:17,12:38:32,51.0
41063,15,12:38:30,12:38:55,32.0
41041,13,12:38:35,12:39:00,12.0
41326,27,12:38:42,12:38:57,2.0
41337,21,12:38:42,12:39:07,4.0
41300,5,12:38:43,12:39:03,24.0
41150,22,12:38:45,12:39:10,6.0
41173,9,12:38:48,12:39:13,10.0
41131,19,12:38:48,12:38:58,36.0
41541,15,12:38:49,12:39:04,16.0
41389,9,12:38:56,12:39:21,8.0
41017,1,12:38:58,12:39:13,27.0
41245,23,12:38:58,12:39:13,40.0
40904,17,12:39:01,12:39:26,8.0
40921,6,12:39:06,12:39:21,20.0
41476,12,12:39:07,12:39:22,16.0
41102,16,12:39:10,12:39:35,10.0
41363,19,12:39:13,12:39:28,20.0
41193,26,12:39:14,12:39:29,27.0
41224,5,12:39:15,12:39:40,4.0
40999,3,12:39:16,12:39:26,40.0
40979,13,12:39:18,12:39:43,12.0
41268,5,12:39:19,12:39:44,6.0
40878,1,12:39:21,12:39:36,2.0
41421,7,12:39:28,12:39:38,36.0
41278,11,12:39:29,12:39:54,32.0
40956,23,12:39:31,12:39:51,24.0
41508,25,12:39:40,12:39:50,51.0
41211,16,12:39:50,12:40:15,13.0
41450,2,12:40:06,12:40:16,1.0
41337,22,12:40:14,12:40:29,3.0
41300,6,12:40:15,12:40:40,23.0
41541,16,12:40:19,12:40:34,17.0
41041,14,12:40:20,12:40:45,11.0
40904,18,12:40:20,12:40:45,7.0
40942,13,12:40:21,12:40:36,14.0
41063,16,12:40:24,12:40:39,33.0
41102,17,12:40:25,12:40:50,9.0
41150,23,12:40:26,12:40:51,5.0
