trip_id,route_id,service_id,trip_headsign,direction_id
39890,MB,carnavaldo-16.pex,Basauri,1
39891,MB,carnavaldo-16.pex,Kabiezes,0
39892,MB,carnavaldo-16.pex,Basauri,1
39893,MB,carnavaldo-16.pex,Kabiezes,0
39894,MB,carnavaldo-16.pex,Basauri,1
39895,MB,carnavaldo-16.pex,Kabiezes,0
39896,MB,carnavaldo-16.pex,Basauri,1
39897,MB,carnavaldo-16.pex,Etxebarri,1
39898,MB,carnavaldo-16.pex,Ibarbengoa,0
39899,MB,carnavaldo-16.pex,Etxebarri,1
39900,MB,carnavaldo-16.pex,Ibarbengoa,0
39901,MB,carnavaldo-16.pex,Etxebarri,1
39902,MB,carnavaldo-16.pex,Ibarbengoa,0
39903,MB,carnavaldo-16.pex,Etxebarri,1
39904,MB,carnavaldo-16.pex,Ibarbengoa,0
39905,MB,carnavaldo-16.pex,Etxebarri,1
39906,MB,carnavaldo-16.pex,Ibarbengoa,0
39907,MB,carnavaldo-16.pex,Etxebarri,1
39908,MB,carnavaldo-16.pex,Ibarbengoa,0
39909,MB,carnavaldo-16.pex,Etxebarri,1
39910,MB,carnavaldo-16.pex,Ibarbengoa,0
39911,MB,carnavaldo-16.pex,Etxebarri,1
39912,MB,carnavaldo-16.pex,Sopela,0
39913,MB,carnavaldo-16.pex,Etxebarri,1
